# NH4_removal_fraction,NH4_energy_intensity,LCOW,GenericNP Capital Cost,Electricity Cost,S_PO4 Concentration,S_NH4 Concentration,NH4_removal,P_removal
1.000000e-01,4.000000e-02,2.287457e-01,2.644258e+04,5.675952e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01
1.000000e-01,6.550000e-01,2.288442e-01,2.644258e+04,5.751296e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01
1.000000e-01,1.270000e+00,2.289427e-01,2.644258e+04,5.826639e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01
1.000000e-01,1.885000e+00,2.290413e-01,2.644258e+04,5.901983e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01
1.000000e-01,2.500000e+00,2.291398e-01,2.644258e+04,5.977327e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01
3.125000e-01,4.000000e-02,2.289749e-01,2.658269e+04,5.734159e+04,3.008033e+00,1.410146e+00,3.125000e-01,9.500000e-01
3.125000e-01,6.550000e-01,2.292836e-01,2.658269e+04,5.970150e+04,3.008033e+00,1.410146e+00,3.125000e-01,9.500000e-01
3.125000e-01,1.270000e+00,2.295922e-01,2.658269e+04,6.206141e+04,3.008033e+00,1.410146e+00,3.125000e-01,9.500000e-01
3.125000e-01,1.885000e+00,2.299008e-01,2.658269e+04,6.442132e+04,3.008033e+00,1.410146e+00,3.125000e-01,9.500000e-01
3.125000e-01,2.500000e+00,2.302094e-01,2.658269e+04,6.678122e+04,3.008033e+00,1.410146e+00,3.125000e-01,9.500000e-01
5.250000e-01,4.000000e-02,2.292001e-01,2.671073e+04,5.789004e+04,3.081835e+00,9.713968e-01,5.250000e-01,9.500000e-01
5.250000e-01,6.550000e-01,2.297195e-01,2.671073e+04,6.186197e+04,3.081835e+00,9.713968e-01,5.250000e-01,9.500000e-01
5.250000e-01,1.270000e+00,2.302390e-01,2.671073e+04,6.583391e+04,3.081835e+00,9.713968e-01,5.250000e-01,9.500000e-01
5.250000e-01,1.885000e+00,2.307584e-01,2.671073e+04,6.980585e+04,3.081835e+00,9.713968e-01,5.250000e-01,9.500000e-01
5.250000e-01,2.500000e+00,2.312779e-01,2.671073e+04,7.377779e+04,3.081835e+00,9.713968e-01,5.250000e-01,9.500000e-01
7.375000e-01,4.000000e-02,2.294227e-01,2.683108e+04,5.841732e+04,3.151594e+00,5.352386e-01,7.375000e-01,9.500000e-01
7.375000e-01,6.550000e-01,2.301536e-01,2.683108e+04,6.400554e+04,3.151594e+00,5.352386e-01,7.375000e-01,9.500000e-01
7.375000e-01,1.270000e+00,2.308844e-01,2.683108e+04,6.959375e+04,3.151594e+00,5.352386e-01,7.375000e-01,9.500000e-01
7.375000e-01,1.885000e+00,2.316152e-01,2.683108e+04,7.518196e+04,3.151594e+00,5.352386e-01,7.375000e-01,9.500000e-01
7.375000e-01,2.500000e+00,2.323460e-01,2.683108e+04,8.077017e+04,3.151594e+00,5.352386e-01,7.375000e-01,9.500000e-01
9.500000e-01,4.000000e-02,2.296441e-01,2.694678e+04,5.893284e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01
9.500000e-01,6.550000e-01,2.305867e-01,2.694678e+04,6.614079e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01
9.500000e-01,1.270000e+00,2.315294e-01,2.694678e+04,7.334873e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01
9.500000e-01,1.885000e+00,2.324720e-01,2.694678e+04,8.055667e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01
9.500000e-01,2.500000e+00,2.334146e-01,2.694678e+04,8.776461e+04,3.218923e+00,1.016474e-01,9.500000e-01,9.500000e-01
